Title,Author,Format-Year
Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica",
Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,
100 Facts About Learning Spanish,Science-Based Language Learning Lab,
A Beginner's Guide to Learning Spanish,"Miller, Jackson",
100 Facts About Learning Spanish,Science-Based Language Learning Lab,
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia",
Learning Spanish for Adults Beginner,"World, Spain",
Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.",
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,
"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.",
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,
I'm Learning Spanish,"Gardner, James M.",
I am learning Spanish,"Gardner, James M.",
The Best Spanish Learning Games for Children,"Professor, Baby",
Easy Learning Spanish Vocabulary,"Dictionaries, Collins",
Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan",
Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared",
Expressing Possession in Spanish,,
Cognates and False Cognates,,
